what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1730251392913
java.specification.name,sysinfo,,,"Java Platform API Specification",1730251392913
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1730251392913
java.specification.version,sysinfo,,,"1.6",1730251392913
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1730251392913
java.version,sysinfo,,,"1.6.0_23",1730251392913
java.vm.info,sysinfo,,,"mixed mode",1730251392913
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1730251392913
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1730251392913
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1730251392913
java.vm.specification.version,sysinfo,,,"1.0",1730251392913
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1730251392913
java.vm.version,sysinfo,,,"19.0-b09",1730251392913
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1730251393528
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1730251393846
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730251394034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730251395146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730251694483
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1730251695661
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1730251695676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730251698317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730251700729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730251778591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730251871757
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1730251873387
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1730251891901
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730251896255
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730251897440
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1730251900995
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1730251900995
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730251986891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730252005537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730252022373
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730252039862
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730252039909
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730252044503
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730252072028
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730252075592
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730252076702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730252164736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730252190126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730252201938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730252338430
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1730252340942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730252344410
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1730252345947
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1730252345963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730252346105
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1730252346113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1730252346113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730252347147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730252348722
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1730252348730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1730252348730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730252360384
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730252381666
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1730252381963
